"id","pop","loc","city","X_id","state"
"124",6118,"[ -71.646444 , 42.558653]","SHIRLEY CENTER",1464,"MA"
"125",2058,"[ -72.064971 , 42.545976]","TEMPLETON",1468,"MA"
"126",6112,"[ -71.689646 , 42.652511]","TOWNSEND",1469,"MA"
"127",6191,"[ -71.909599 , 42.548319]","WESTMINSTER",1473,"MA"
"128",2452,"[ -71.74057 , 42.670404]","W TOWNSEND",1474,"MA"
"129",8805,"[ -72.047524 , 42.678943]","WINCHENDON",1475,"MA"
"130",15007,"[ -71.839144 , 42.205502]","AUBURN",1501,"MA"
"131",2293,"[ -71.635634 , 42.384438]","BERLIN",1503,"MA"
"132",8023,"[ -71.52691 , 42.028708]","BLACKSTONE",1504,"MA"
"133",3517,"[ -71.731042 , 42.337727]","BOYLSTON",1505,"MA"
"134",2968,"[ -72.098887 , 42.199141]","BROOKFIELD",1506,"MA"
"135",9576,"[ -71.966384 , 42.137902]","CHARLTON",1507,"MA"
"136",13269,"[ -71.682847 , 42.418147]","CLINTON",1510,"MA"
"137",2033,"[ -72.048078 , 42.219308]","EAST BROOKFIELD",1515,"MA"
"138",5594,"[ -71.726611 , 42.060566]","EAST DOUGLAS",1516,"MA"
"139",774,"[ -72.117764 , 42.122762]","FISKDALE",1518,"MA"
"140",4910,"[ -71.686848 , 42.200371]","GRAFTON",1519,"MA"
"141",12051,"[ -71.84142 , 42.341983]","HOLDEN",1520,"MA"
"142",747,"[ -72.154373 , 42.040264]","HOLLAND",1521,"MA"
"143",2478,"[ -71.87058 , 42.375519]","JEFFERSON",1522,"MA"
"144",6018,"[ -71.686831 , 42.450984]","LANCASTER",1523,"MA"
"145",6527,"[ -71.918829 , 42.237047]","LEICESTER",1524,"MA"
"146",12228,"[ -71.764438 , 42.196779]","MILLBURY",1527,"MA"
"147",2236,"[ -71.579813 , 42.033102]","MILLVILLE",1529,"MA"
"148",881,"[ -72.130642 , 42.31977]","NEW BRAINTREE",1531,"MA"
"149",11930,"[ -71.646372 , 42.318242]","NORTHBOROUGH",1532,"MA"
"150",4564,"[ -71.656366 , 42.1494]","NORTHBRIDGE",1534,"MA"
"151",4755,"[ -72.082129 , 42.266455]","NORTH BROOKFIELD",1535,"MA"
"152",5401,"[ -71.703691 , 42.229726]","NORTH GRAFTON",1536,"MA"
"153",3031,"[ -71.885953 , 42.16549]","NORTH OXFORD",1537,"MA"
"154",9557,"[ -71.868677 , 42.11285]","OXFORD",1540,"MA"
"155",3189,"[ -71.876245 , 42.450812]","PRINCETON",1541,"MA"
"156",1154,"[ -71.906882 , 42.199685]","ROCHDALE",1542,"MA"
"157",4936,"[ -71.948951 , 42.376199]","RUTLAND",1543,"MA"
"158",24146,"[ -71.720503 , 42.284801]","SHREWSBURY",1545,"MA"
"159",17816,"[ -72.035347 , 42.075024]","SOUTHBRIDGE",1550,"MA"
"160",2719,"[ -71.692725 , 42.176042]","SOUTH GRAFTON",1560,"MA"
